time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140103:2300,10.89,83.9,0.0,0.0,0.0,323.8,1.59,109.0,97380.0
20140104:0000,10.86,85.2,0.0,0.0,0.0,338.8,1.38,115.0,97351.0
20140104:0100,10.83,86.15,0.0,0.0,0.0,339.85,1.24,118.0,97380.0
20140104:0200,10.89,87.5,22.8,0.0,22.8,343.4,1.24,120.0,97427.0
20140104:0300,12.32,85.0,162.5,421.92,75.2,347.4,0.55,125.0,97514.0
20140104:0400,14.94,73.8,281.0,416.84,121.45,353.0,0.48,143.0,97591.0
20140104:0500,16.97,69.85,475.6,627.96,148.65,348.8,0.21,209.0,97591.0
20140104:0600,19.27,61.3,568.3,679.41,153.05,336.8,0.76,284.0,97514.0
20140104:0700,20.89,49.95,652.9,820.12,121.3,335.4,1.59,329.0,97408.0
20140104:0800,21.84,45.4,580.9,718.35,128.95,328.8,1.93,335.0,97293.0
20140104:0900,22.29,42.3,470.65,632.39,119.45,340.8,2.34,336.0,97245.0
20140104:1000,22.21,40.35,306.55,496.83,92.0,327.0,2.55,338.0,97197.0
20140104:1100,21.7,39.5,122.4,287.25,45.7,325.2,2.62,343.0,97197.0
20140104:1200,19.95,44.4,6.6,30.51,4.4,316.2,2.48,349.0,97216.0
20140104:1300,17.39,50.1,0.0,0.0,0.0,311.4,2.83,358.0,97245.0
20140104:1400,15.81,53.25,0.0,0.0,0.0,303.0,2.83,9.0,97312.0
20140104:1500,14.63,56.3,0.0,0.0,0.0,297.0,2.83,17.0,97351.0
20140104:1600,13.57,60.3,0.0,0.0,0.0,293.2,2.69,23.0,97380.0
20140104:1700,12.59,65.2,0.0,0.0,0.0,289.2,2.55,28.0,97389.0
20140104:1800,11.67,70.65,0.0,0.0,0.0,285.4,2.48,34.0,97370.0
20140104:1900,11.1,73.45,0.0,0.0,0.0,285.0,2.34,30.0,97341.0
20140104:2000,10.36,78.3,0.0,0.0,0.0,283.8,2.21,36.0,97332.0
20140104:2100,9.59,83.8,0.0,0.0,0.0,281.6,2.07,42.0,97322.0
20140104:2200,8.82,89.2,0.0,0.0,0.0,281.0,1.86,45.0,97284.0
20140104:2300,8.09,92.25,0.0,0.0,0.0,278.6,1.72,48.0,97312.0
20140105:0000,8.0,92.0,0.0,0.0,0.0,276.2,1.38,47.0,97312.0
20140105:0100,7.77,93.8,0.0,0.0,0.0,277.6,1.1,35.0,97284.0
20140105:0200,6.27,99.15,31.2,0.0,31.2,286.6,1.1,9.0,97418.0
20140105:0300,7.87,96.5,243.1,749.18,88.3,292.0,0.55,351.0,97495.0
