time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20190105:0130,0.0,0.0,0.0,0.0,0.0,10.19,2.34,0.0
20190105:0230,138.69,140.77,46.06,0.99,6.2,9.93,2.34,0.0
20190105:0330,375.26,357.86,93.44,3.5,17.38,11.5,1.86,0.0
20190105:0430,555.88,570.81,115.28,5.96,27.22,16.86,1.93,0.0
20190105:0530,670.59,729.8,127.37,7.84,34.96,20.87,2.07,0.0
20190105:0630,729.21,819.24,133.42,8.91,39.63,23.42,2.28,0.0
20190105:0730,731.18,831.92,134.4,9.06,40.34,24.68,2.07,0.0
20190105:0830,684.62,767.71,129.97,8.29,36.93,25.37,2.21,0.0
20190105:0930,582.62,630.63,120.05,6.67,30.1,25.66,2.41,0.0
20190105:1030,420.43,433.61,102.22,4.37,20.88,25.59,2.55,0.0
20190105:1130,201.68,204.21,67.09,1.78,10.08,25.05,2.48,0.0
20190105:1230,0.0,0.0,0.0,0.0,-1.72,23.61,2.0,0.0
20190105:1330,0.0,0.0,0.0,0.0,0.0,21.3,2.48,0.0
20190105:1430,0.0,0.0,0.0,0.0,0.0,19.03,2.62,0.0
20190105:1530,0.0,0.0,0.0,0.0,0.0,17.4,3.03,0.0
20190105:1630,0.0,0.0,0.0,0.0,0.0,16.38,3.52,0.0
20190105:1730,0.0,0.0,0.0,0.0,0.0,15.65,3.72,0.0
20190105:1830,0.0,0.0,0.0,0.0,0.0,15.27,3.79,0.0
20190105:1930,0.0,0.0,0.0,0.0,0.0,14.75,3.59,0.0
20190105:2030,0.0,0.0,0.0,0.0,0.0,13.87,3.03,0.0
20190105:2130,0.0,0.0,0.0,0.0,0.0,12.97,3.17,0.0
20190105:2230,0.0,0.0,0.0,0.0,0.0,12.19,3.24,0.0
20190105:2330,0.0,0.0,0.0,0.0,0.0,11.29,3.24,0.0
20190106:0030,0.0,0.0,0.0,0.0,0.0,10.51,3.45,0.0
20190106:0130,0.0,0.0,0.0,0.0,0.0,9.87,3.52,0.0
20190106:0230,139.59,139.54,47.55,1.0,6.18,9.33,3.31,0.0
20190106:0330,382.17,354.89,98.49,3.54,17.38,10.19,3.03,0.0
20190106:0430,583.55,576.91,119.22,6.06,27.24,12.66,3.45,0.0
20190106:0530,712.01,740.06,130.99,7.97,35.02,15.32,3.59,0.0
20190106:0630,775.82,828.41,137.27,9.04,39.72,17.59,3.93,0.0
20190106:0730,783.59,843.76,137.48,9.21,40.46,18.62,4.0,0.0
20190106:0830,733.49,781.15,132.74,8.45,37.07,19.61,4.28,0.0
20190106:0930,622.96,644.81,122.29,6.82,30.26,20.07,4.48,0.0
20190106:1030,445.71,438.44,107.14,4.47,21.03,19.95,4.62,0.0
20190106:1130,218.63,213.93,69.28,1.86,10.23,19.3,4.41,0.0
20190106:1230,0.0,0.0,0.0,0.0,-1.58,18.02,3.31,0.0
20190106:1330,0.0,0.0,0.0,0.0,0.0,15.77,2.83,0.0
20190106:1430,0.0,0.0,0.0,0.0,0.0,14.38,2.76,0.0
20190106:1530,0.0,0.0,0.0,0.0,0.0,13.35,2.76,0.0
20190106:1630,0.0,0.0,0.0,0.0,0.0,12.49,2.69,0.0
20190106:1730,0.0,0.0,0.0,0.0,0.0,11.71,2.62,0.0
20190106:1830,0.0,0.0,0.0,0.0,0.0,11.0,2.55,0.0
20190106:1930,0.0,0.0,0.0,0.0,0.0,10.65,2.41,0.0
20190106:2030,0.0,0.0,0.0,0.0,0.0,10.01,2.34,0.0
20190106:2130,0.0,0.0,0.0,0.0,0.0,9.36,2.21,0.0
20190106:2230,0.0,0.0,0.0,0.0,0.0,8.78,2.14,0.0
20190106:2330,0.0,0.0,0.0,0.0,0.0,8.23,2.0,0.0
20190107:0030,0.0,0.0,0.0,0.0,0.0,7.67,2.0,0.0
20190107:0130,0.0,0.0,0.0,0.0,0.0,7.2,2.0,0.0
20190107:0230,142.04,141.32,47.44,1.0,6.16,6.77,1.93,0.0
20190107:0330,386.94,363.2,96.42,3.58,17.39,8.07,1.45,0.0
20190107:0430,577.95,582.18,118.45,6.1,27.28,12.62,1.86,0.0
20190107:0530,708.71,745.21,130.67,8.03,35.08,15.56,2.83,0.0
20190107:0630,774.85,836.6,136.31,9.12,39.82,17.57,3.24,0.0
20190107:0730,778.54,851.72,136.6,9.29,40.59,18.88,3.03,0.0
20190107:0830,725.48,788.56,131.63,8.52,37.22,19.84,2.83,0.0
20190107:0930,615.79,651.46,121.47,6.88,30.41,20.36,2.62,0.0
20190107:1030,447.47,451.88,103.94,4.55,21.18,20.41,2.69,0.0
20190107:1130,220.41,217.64,69.72,1.9,10.38,19.92,2.83,0.0
20190107:1230,0.0,0.0,0.0,0.0,-1.44,18.51,2.41,0.0
20190107:1330,0.0,0.0,0.0,0.0,0.0,15.94,2.83,0.0
20190107:1430,0.0,0.0,0.0,0.0,0.0,14.44,2.83,0.0
20190107:1530,0.0,0.0,0.0,0.0,0.0,13.34,2.9,0.0
20190107:1630,0.0,0.0,0.0,0.0,0.0,12.43,2.76,0.0
20190107:1730,0.0,0.0,0.0,0.0,0.0,11.52,2.69,0.0
