time,T2M,RH2M,WS10M,PS,ALLSKY_SFC_SW_DWN
2020010100,6.54,69.67,3.2,98.1,0.0
2020010101,6.28,72.89,3.11,98.09,0.0
2020010102,5.62,76.63,3.06,98.06,0.0
2020010103,5.02,79.35,3.09,98.06,0.0
2020010104,4.67,79.84,3.21,98.06,0.0
2020010105,4.47,78.77,3.45,98.11,0.0
2020010106,4.34,77.48,3.68,98.19,0.0
2020010107,5.57,69.61,4.77,98.27,54.0
2020010108,8.25,57.81,5.34,98.35,221.25
2020010109,11.96,46.13,4.87,98.41,400.62
2020010110,15.93,37.38,5.48,98.4,546.53
2020010111,18.78,32.57,5.39,98.32,616.17
2020010112,20.54,31.3,5.19,98.2,552.72
2020010113,21.45,31.35,5.08,98.09,483.45
2020010114,21.5,31.78,5.07,98.03,372.08
2020010115,20.78,33.46,5.06,98.01,220.45
2020010116,17.96,40.89,3.43,98.04,80.9
2020010117,14.1,52.55,3.46,98.11,3.45
2020010118,12.95,57.54,3.56,98.21,0.0
2020010119,12.02,61.89,3.53,98.3,0.0
2020010120,11.19,65.89,3.52,98.35,0.0
2020010121,10.46,69.44,3.53,98.38,0.0
2020010122,9.77,72.72,3.52,98.38,0.0
2020010123,9.1,76.06,3.47,98.35,0.0
2020010200,8.42,80.19,3.35,98.33,0.0
2020010201,7.75,85.25,3.16,98.3,0.0
2020010202,7.12,90.69,2.99,98.27,0.0
2020010203,6.54,96.29,2.85,98.25,0.0
2020010204,6.07,100.0,2.74,98.27,0.0
2020010205,6.06,100.0,2.81,98.34,0.0
2020010206,6.32,97.61,3.47,98.42,0.0
2020010207,7.1,92.74,3.82,98.5,40.83
2020010208,9.03,83.98,4.02,98.58,173.98
2020010209,11.88,70.8,4.04,98.6,326.55
2020010210,15.35,55.54,4.77,98.54,459.1
2020010211,17.84,44.11,4.64,98.4,530.08
2020010212,19.27,38.45,4.11,98.25,504.4
2020010213,20.04,35.81,3.7,98.14,482.45
2020010214,20.14,35.3,3.62,98.08,371.77
2020010215,19.61,36.07,3.7,98.08,217.4
2020010216,17.33,41.62,2.64,98.1,78.15
2020010217,13.9,49.22,3.12,98.16,3.45
2020010218,12.93,49.85,3.38,98.24,0.0
2020010219,12.13,50.13,3.5,98.32,0.0
2020010220,11.39,50.8,3.61,98.37,0.0
2020010221,10.78,52.06,3.62,98.38,0.0
2020010222,9.96,56.02,3.44,98.37,0.0
2020010223,9.18,60.9,3.21,98.34,0.0
2020010300,8.57,65.7,3.04,98.29,0.0
2020010301,8.08,70.07,2.95,98.25,0.0
2020010302,7.66,73.88,2.88,98.21,0.0
2020010303,7.26,77.44,2.8,98.19,0.0
2020010304,6.87,80.49,2.76,98.19,0.0
2020010305,6.51,82.71,2.74,98.23,0.0
2020010306,6.16,84.63,2.69,98.3,0.0
2020010307,7.37,78.06,2.39,98.35,44.53
2020010308,10.16,64.67,2.69,98.42,191.6
2020010309,13.23,53.12,1.81,98.45,351.85
2020010310,17.83,41.37,2.38,98.4,495.9
2020010311,19.96,35.77,2.41,98.27,580.05
2020010312,21.07,31.72,2.64,98.13,587.25
2020010313,21.66,28.99,2.9,98.02,532.47
2020010314,21.68,27.73,3.18,97.95,418.2
2020010315,21.01,28.0,3.38,97.93,259.73
2020010316,18.36,34.35,2.46,97.94,96.15
2020010317,14.44,42.88,3.04,98.0,4.45
2020010318,13.2,45.9,3.32,98.08,0.0
2020010319,12.35,48.23,3.44,98.15,0.0
2020010320,11.61,50.55,3.46,98.18,0.0
2020010321,10.89,53.03,3.42,98.19,0.0
2020010322,10.23,55.41,3.37,98.19,0.0
2020010323,9.63,57.8,3.32,98.16,0.0
2020010400,9.08,60.37,3.29,98.12,0.0
