time,T2M,RH2M,WS10M,PS,ALLSKY_SFC_SW_DWN
2020010401,8.56,63.49,3.27,98.08,0.0
2020010402,8.05,67.29,3.25,98.03,0.0
2020010403,7.58,71.56,3.23,98.0,0.0
2020010404,7.14,76.54,3.21,98.0,0.0
2020010405,6.78,81.98,3.18,98.04,0.0
2020010406,6.47,87.85,3.16,98.1,0.0
2020010407,8.07,83.0,3.01,98.16,47.78
2020010408,11.49,69.37,3.86,98.23,204.65
2020010409,15.08,56.2,2.81,98.3,369.3
2020010410,19.66,38.84,2.1,98.28,505.55
2020010411,21.54,31.14,0.79,98.19,574.58
2020010412,22.72,26.28,1.38,98.07,584.78
2020010413,23.18,24.21,2.03,97.97,529.35
2020010414,23.04,23.73,2.11,97.88,410.77
2020010415,22.38,24.34,1.93,97.85,252.15
2020010416,20.27,30.87,1.27,97.87,92.38
2020010417,18.4,31.96,1.22,97.92,4.4
2020010418,17.53,33.24,1.19,98.0,0.0
2020010419,16.74,34.9,1.13,98.09,0.0
2020010420,16.07,36.26,1.1,98.13,0.0
2020010421,15.36,37.95,1.18,98.14,0.0
2020010422,14.55,40.08,1.26,98.13,0.0
2020010423,13.81,42.13,1.32,98.1,0.0
2020010500,13.14,44.21,1.36,98.07,0.0
2020010501,12.2,47.44,1.61,98.03,0.0
2020010502,11.11,52.03,1.92,98.0,0.0
2020010503,10.21,56.88,2.1,97.98,0.0
2020010504,9.4,62.71,2.26,97.98,0.0
2020010505,8.6,69.44,2.45,98.01,0.0
2020010506,7.81,76.99,2.7,98.04,0.0
2020010507,8.94,75.04,2.53,98.09,46.6
2020010508,12.44,62.18,3.58,98.15,207.73
2020010509,15.52,51.48,2.75,98.23,358.6
2020010510,20.47,32.02,2.5,98.19,490.23
2020010511,22.46,27.46,2.17,98.1,572.42
2020010512,23.28,25.33,2.14,98.0,650.05
2020010513,23.68,24.11,2.1,97.89,592.25
2020010514,23.62,23.81,2.04,97.83,447.08
2020010515,23.03,24.18,1.69,97.84,260.55
2020010516,21.28,30.19,0.96,97.88,96.55
2020010517,19.57,30.88,0.93,97.93,4.12
2020010518,18.14,33.34,1.28,98.0,0.0
2020010519,16.7,36.62,1.9,98.06,0.0
2020010520,14.88,42.27,2.52,98.1,0.0
2020010521,13.31,49.79,3.05,98.1,0.0
2020010522,12.22,58.21,3.27,98.11,0.0
2020010523,11.44,65.92,3.26,98.11,0.0
2020010600,11.55,68.54,3.03,98.1,0.0
2020010601,11.89,68.46,3.05,98.07,0.0
2020010602,11.7,69.83,3.44,97.98,0.0
2020010603,10.67,74.74,3.25,97.93,0.0
2020010604,10.03,77.89,2.97,97.95,0.0
2020010605,9.35,81.57,2.84,98.0,0.0
2020010606,8.97,83.32,2.94,98.05,0.0
2020010607,10.44,75.17,4.08,98.11,42.47
2020010608,12.61,64.73,4.0,98.19,163.43
2020010609,15.74,52.17,3.21,98.24,280.85
2020010610,19.75,37.37,3.74,98.21,374.0
2020010611,22.3,30.06,3.65,98.11,443.25
2020010612,23.49,27.34,3.57,97.98,528.78
2020010613,24.17,25.96,3.77,97.9,439.7
2020010614,24.31,25.58,3.89,97.87,378.27
2020010615,23.68,26.51,3.58,97.88,230.38
2020010616,21.32,33.2,1.92,97.89,95.95
2020010617,19.49,35.52,1.43,97.91,4.85
2020010618,18.67,36.97,1.19,97.97,0.0
2020010619,17.64,39.69,1.34,98.02,0.0
2020010620,16.6,42.82,1.58,98.05,0.0
2020010621,15.4,46.69,1.94,98.06,0.0
2020010622,14.36,50.78,2.1,98.04,0.0
2020010623,13.53,54.99,2.07,98.02,0.0
2020010700,12.77,59.05,1.93,98.0,0.0
2020010701,12.19,62.34,1.83,98.0,0.0
2020010702,11.56,65.88,1.83,97.96,0.0
2020010703,11.0,69.41,1.8,97.91,0.0
2020010704,10.39,73.64,1.82,97.9,0.0
2020010705,9.82,78.21,1.93,97.93,0.0
2020010706,9.22,83.47,2.1,97.97,0.0
2020010707,10.58,78.32,2.26,98.02,35.62
2020010708,12.94,68.41,2.88,98.08,157.35
2020010709,16.09,54.72,3.11,98.12,298.75
2020010710,19.37,42.87,3.27,98.07,418.9
2020010711,21.47,37.06,3.09,97.95,473.38
2020010712,22.5,34.81,3.2,97.81,422.27
2020010713,22.9,34.06,3.82,97.73,382.38
2020010714,22.4,35.44,4.57,97.68,276.3
2020010715,21.15,38.94,5.33,97.68,164.02
2020010716,19.09,45.87,6.0,97.72,56.78
2020010717,16.54,56.81,6.06,97.8,3.3
2020010718,14.85,67.06,5.86,97.89,0.0
2020010719,13.85,74.62,5.02,97.92,0.0
2020010720,13.19,79.85,3.91,97.92,0.0
2020010721,12.65,83.78,3.22,97.91,0.0
2020010722,11.9,88.89,2.59,97.89,0.0
2020010723,11.18,93.77,2.3,97.84,0.0
2020010800,10.64,97.52,2.2,97.79,0.0
2020010801,10.05,100.0,2.23,97.74,0.0
2020010802,9.63,100.0,2.21,97.69,0.0
2020010803,9.28,100.0,2.19,97.65,0.0
2020010804,8.92,100.0,2.26,97.66,0.0
2020010805,8.62,100.0,2.28,97.73,0.0
2020010806,8.3,100.0,2.2,97.82,0.0
2020010807,9.45,97.28,2.4,97.88,32.67
2020010808,12.15,79.9,2.71,97.95,142.4
2020010809,15.1,59.51,3.06,98.01,249.0
2020010810,17.25,45.44,3.06,97.99,346.25
2020010811,18.76,36.66,3.35,97.9,626.4
2020010812,19.73,31.35,4.08,97.8,672.03
2020010813,20.13,28.7,4.9,97.72,629.83
2020010814,19.92,28.13,5.34,97.7,508.4
2020010815,19.17,28.43,5.37,97.72,336.98
2020010816,17.49,30.27,4.3,97.75,140.5
2020010817,13.38,37.7,3.2,97.82,7.78
2020010818,11.9,38.1,3.44,97.92,0.0
2020010819,10.69,38.28,3.51,98.02,0.0
2020010820,9.57,39.44,3.54,98.09,0.0
2020010821,8.6,41.71,3.52,98.13,0.0
2020010822,7.71,45.06,3.44,98.13,0.0
2020010823,6.91,49.64,3.34,98.11,0.0
2020010900,6.2,56.41,3.24,98.08,0.0
2020010901,5.6,65.35,3.17,98.06,0.0
2020010902,5.07,76.2,3.1,98.04,0.0
2020010903,4.54,87.78,3.02,98.02,0.0
2020010904,4.06,97.13,2.91,98.05,0.0
2020010905,3.64,100.0,2.81,98.12,0.0
2020010906,3.27,100.0,2.74,98.22,0.0
2020010907,5.09,96.9,2.72,98.32,69.55
2020010908,8.17,78.88,3.25,98.41,274.15
2020010909,12.09,54.47,3.37,98.47,466.33
2020010910,14.9,37.36,3.61,98.46,613.28
2020010911,16.72,29.09,3.58,98.37,699.7
2020010912,18.04,23.84,3.49,98.27,729.42
2020010913,18.69,21.56,3.56,98.19,668.47
2020010914,18.8,20.75,3.72,98.16,542.88
2020010915,18.22,21.6,3.83,98.17,364.65
2020010916,16.13,25.86,2.99,98.2,157.23
2020010917,11.64,36.37,3.17,98.26,9.25
2020010918,10.39,40.31,3.5,98.36,0.0
2020010919,9.58,43.91,3.61,98.44,0.0
2020010920,8.79,47.73,3.68,98.49,0.0
2020010921,8.0,51.39,3.7,98.49,0.0
2020010922,7.27,54.46,3.71,98.45,0.0
2020010923,6.52,57.47,3.66,98.4,0.0
2020011000,5.79,60.58,3.57,98.34,0.0
2020011001,5.09,63.76,3.47,98.31,0.0
2020011002,4.52,66.34,3.44,98.29,0.0
2020011003,4.1,68.5,3.51,98.27,0.0
2020011004,3.7,70.46,3.56,98.27,0.0
2020011005,3.29,72.55,3.53,98.3,0.0
2020011006,2.77,75.13,3.38,98.38,0.0
2020011007,4.47,67.06,3.59,98.46,65.18
2020011008,7.47,54.67,3.86,98.51,266.05
2020011009,11.31,41.17,3.8,98.55,460.52
2020011010,14.52,30.02,4.51,98.53,610.83
2020011011,16.34,25.15,3.8,98.43,691.78
2020011012,17.74,21.75,3.28,98.31,718.72
2020011013,18.64,19.73,3.27,98.21,641.53
2020011014,18.89,18.77,3.2,98.17,536.25
2020011015,18.39,19.21,3.31,98.16,358.15
2020011016,16.12,23.9,2.58,98.17,152.68
2020011017,11.91,31.98,2.92,98.2,9.0
2020011018,10.44,35.04,3.04,98.27,0.0
2020011019,9.47,37.54,3.1,98.32,0.0
2020011020,8.53,40.16,3.27,98.35,0.0
2020011021,7.78,42.42,3.37,98.37,0.0
2020011022,7.5,43.69,3.36,98.37,0.0
2020011023,7.35,44.27,3.35,98.3,0.0
2020011100,7.15,45.0,3.33,98.24,0.0
2020011101,7.09,45.34,3.27,98.22,0.0
2020011102,6.53,47.27,3.19,98.21,0.0
2020011103,5.76,49.67,3.22,98.18,0.0
2020011104,5.33,51.36,3.15,98.19,0.0
2020011105,5.08,52.3,3.07,98.26,0.0
2020011106,4.94,52.85,3.04,98.34,0.0
2020011107,6.42,47.89,4.0,98.4,51.38
2020011108,8.75,41.0,4.01,98.45,222.9
2020011109,12.28,32.3,3.81,98.49,402.12
2020011110,15.93,24.17,4.67,98.45,556.08
2020011111,17.82,21.18,4.52,98.33,654.38
2020011112,19.45,18.68,4.42,98.17,700.92
2020011113,20.59,16.99,4.2,98.04,644.83
2020011114,21.01,16.36,4.0,97.97,523.42
2020011115,20.57,16.74,3.97,97.93,348.62
2020011116,18.1,22.01,2.74,97.94,146.75
2020011117,13.94,29.51,3.12,97.97,9.07
2020011118,12.83,32.39,3.2,98.06,0.0
2020011119,12.07,35.2,3.05,98.16,0.0
2020011120,11.31,37.98,3.03,98.22,0.0
2020011121,10.57,40.89,3.14,98.24,0.0
2020011122,9.9,43.52,3.21,98.21,0.0
2020011123,9.29,46.25,3.21,98.14,0.0
2020011200,8.9,48.15,3.11,98.09,0.0
2020011201,8.35,50.1,3.06,98.04,0.0
2020011202,7.76,51.83,3.06,98.01,0.0
2020011203,7.25,53.05,3.07,97.99,0.0
2020011204,6.82,54.15,3.16,97.97,0.0
2020011205,6.48,55.13,3.25,98.0,0.0
2020011206,6.17,56.36,3.26,98.07,0.0
2020011207,7.99,50.51,3.42,98.13,49.58
2020011208,11.19,41.22,4.39,98.17,220.55
2020011209,14.96,32.58,3.97,98.17,390.85
2020011210,19.66,24.53,4.48,98.11,531.67
2020011211,22.3,22.29,3.86,97.99,601.6
2020011212,23.96,22.91,3.68,97.82,635.75
2020011213,24.84,24.47,3.85,97.63,577.35
2020011214,25.06,26.48,3.86,97.51,376.42
2020011215,24.54,29.32,3.42,97.48,237.1
2020011216,21.88,37.45,1.89,97.48,98.07
2020011217,19.92,41.6,1.28,97.52,7.12
2020011218,19.2,43.68,0.54,97.59,0.0
2020011219,18.58,45.35,0.2,97.64,0.0
2020011220,17.65,47.94,1.02,97.66,0.0
2020011221,16.31,52.68,1.85,97.63,0.0
2020011222,14.7,60.05,2.52,97.57,0.0
2020011223,13.5,67.96,2.95,97.48,0.0
2020011300,12.91,74.74,3.08,97.4,0.0
2020011301,12.61,80.31,3.08,97.32,0.0
2020011302,12.99,82.32,2.99,97.25,0.0
2020011303,13.42,83.52,3.17,97.21,0.0
2020011304,13.86,84.18,3.91,97.2,0.0
2020011305,14.1,86.19,5.02,97.26,0.0
2020011306,14.1,89.83,5.78,97.34,0.0
2020011307,14.49,90.29,6.4,97.42,16.4
2020011308,15.36,85.16,6.98,97.5,66.32
2020011309,15.56,78.17,7.04,97.57,108.72
2020011310,15.4,71.81,5.95,97.59,87.68
2020011311,15.6,67.33,5.08,97.51,102.62
2020011312,16.51,61.74,5.59,97.43,247.68
2020011313,17.71,55.89,6.25,97.38,297.1
2020011314,18.13,52.03,6.3,97.35,290.52
2020011315,17.54,52.15,5.89,97.36,197.4
2020011316,16.12,56.25,4.76,97.41,97.07
2020011317,12.69,70.39,2.87,97.48,8.2
2020011318,11.27,76.81,2.77,97.59,0.0
2020011319,10.3,81.63,2.62,97.68,0.0
2020011320,9.52,85.68,2.44,97.75,0.0
2020011321,9.0,87.96,2.2,97.78,0.0
2020011322,8.66,89.31,1.95,97.79,0.0
2020011323,8.38,90.29,1.75,97.76,0.0
2020011400,8.02,92.07,1.68,97.74,0.0
2020011401,7.5,95.23,1.74,97.72,0.0
2020011402,6.74,100.0,2.0,97.71,0.0
2020011403,5.93,100.0,2.3,97.71,0.0
2020011404,5.21,100.0,2.61,97.74,0.0
2020011405,5.19,100.0,2.82,97.79,0.0
2020011406,6.02,100.0,3.65,97.86,0.0
2020011407,7.01,94.63,4.04,97.92,60.95
2020011408,8.6,86.63,3.63,97.98,253.3
2020011409,11.87,67.28,3.14,98.02,442.48
2020011410,14.87,49.39,1.93,98.0,594.08
2020011411,16.44,42.21,1.07,97.93,676.42
2020011412,17.55,37.42,0.88,97.81,698.75
2020011413,18.22,34.12,1.53,97.72,657.28
2020011414,18.46,32.2,2.12,97.67,529.42
2020011415,18.07,32.1,2.5,97.68,359.55
2020011416,16.48,37.34,2.37,97.7,158.55
2020011417,12.37,49.93,2.87,97.75,11.07
2020011418,11.09,52.01,3.28,97.83,0.0
2020011419,10.3,53.87,3.48,97.91,0.0
2020011420,9.6,55.84,3.67,97.96,0.0
2020011421,8.93,58.15,3.79,97.97,0.0
2020011422,8.27,61.09,3.87,97.96,0.0
2020011423,7.66,64.11,3.96,97.93,0.0
2020011500,7.04,67.49,3.92,97.91,0.0
2020011501,6.45,70.75,3.83,97.87,0.0
2020011502,5.9,73.81,3.63,97.85,0.0
2020011503,5.46,76.26,3.51,97.83,0.0
2020011504,5.14,77.81,3.49,97.85,0.0
2020011505,4.9,78.79,3.51,97.88,0.0
2020011506,4.69,79.46,3.5,97.94,0.0
2020011507,6.43,70.29,4.44,98.0,58.3
2020011508,9.14,58.86,4.59,98.05,237.48
2020011509,13.19,44.89,4.57,98.07,409.08
2020011510,16.64,36.09,4.19,98.04,522.05
2020011511,18.41,35.28,3.06,97.96,598.1
2020011512,19.49,36.18,1.92,97.83,577.2
2020011513,19.92,37.47,1.2,97.72,527.65
2020011514,19.93,38.42,1.64,97.66,413.05
2020011515,19.37,40.06,2.55,97.66,240.43
2020011516,17.9,44.24,3.08,97.69,90.68
2020011517,15.2,50.03,3.66,97.74,7.3
2020011518,14.43,47.68,5.39,97.82,0.0
2020011519,13.27,48.48,5.82,97.9,0.0
2020011520,12.17,50.25,5.83,97.95,0.0
2020011521,11.35,52.01,5.84,97.96,0.0
2020011522,10.8,53.33,5.87,97.94,0.0
2020011523,10.48,54.08,5.85,97.89,0.0
2020011600,10.24,54.68,5.68,97.85,0.0
2020011601,9.97,55.52,5.43,97.79,0.0
2020011602,9.75,56.33,5.22,97.77,0.0
2020011603,9.57,57.66,5.03,97.75,0.0
2020011604,9.35,59.72,4.94,97.76,0.0
2020011605,9.09,62.56,4.8,97.8,0.0
2020011606,8.93,64.79,4.72,97.86,0.0
2020011607,9.08,65.4,4.65,97.93,21.98
2020011608,10.26,60.58,4.55,97.99,96.62
2020011609,12.12,54.34,4.42,98.03,173.52
2020011610,13.97,50.5,3.94,98.02,249.93
2020011611,15.34,48.52,3.52,97.95,315.92
2020011612,16.32,47.04,3.52,97.84,311.62
2020011613,16.94,45.58,3.86,97.75,275.27
2020011614,17.23,44.25,4.11,97.69,306.92
2020011615,16.97,43.85,4.18,97.69,190.38
2020011616,15.97,45.03,3.66,97.71,85.75
2020011617,12.71,54.14,2.72,97.75,7.57
2020011618,11.14,56.32,2.96,97.82,0.0
2020011619,10.06,57.26,2.98,97.87,0.0
2020011620,9.09,58.57,2.97,97.91,0.0
2020011621,8.26,59.96,2.95,97.93,0.0
2020011622,7.54,61.48,2.91,97.94,0.0
2020011623,6.93,62.99,2.85,97.93,0.0
2020011700,6.38,64.42,2.78,97.9,0.0
2020011701,5.9,66.07,2.69,97.87,0.0
2020011702,5.54,67.2,2.53,97.84,0.0
2020011703,5.35,67.55,2.32,97.8,0.0
2020011704,5.35,67.2,2.06,97.81,0.0
2020011705,5.44,66.64,1.8,97.86,0.0
2020011706,5.53,65.93,1.55,97.93,0.0
2020011707,6.57,62.53,1.2,98.01,51.17
2020011708,9.03,52.64,1.09,98.08,219.38
2020011709,12.38,42.68,0.72,98.16,404.05
2020011710,15.77,33.38,1.23,98.17,549.47
2020011711,17.27,30.09,1.3,98.12,651.72
2020011712,18.3,27.95,1.52,98.03,699.95
2020011713,18.94,26.54,1.86,97.94,650.08
2020011714,19.03,26.09,2.17,97.87,531.5
2020011715,18.51,26.65,2.39,97.84,359.95
2020011716,16.5,34.18,1.97,97.86,160.05
2020011717,12.77,42.88,2.46,97.91,12.38
2020011718,11.3,45.99,2.77,97.99,0.0
2020011719,10.35,48.41,2.88,98.05,0.0
2020011720,9.58,50.6,2.95,98.1,0.0
2020011721,8.9,52.57,3.0,98.12,0.0
2020011722,8.29,54.49,3.02,98.1,0.0
2020011723,7.72,56.33,3.02,98.06,0.0
2020011800,7.19,58.07,3.01,98.02,0.0
2020011801,6.69,59.76,3.0,97.99,0.0
2020011802,6.21,61.75,2.97,97.95,0.0
2020011803,5.71,63.9,2.98,97.91,0.0
2020011804,5.25,66.15,3.01,97.9,0.0
2020011805,4.92,68.09,2.92,97.96,0.0
2020011806,4.83,69.31,2.65,98.06,0.0
2020011807,6.56,63.8,2.07,98.16,62.85
2020011808,10.13,51.49,2.3,98.22,257.55
2020011809,13.52,41.78,1.44,98.25,448.45
2020011810,17.62,27.6,0.75,98.25,597.05
2020011811,19.17,22.98,1.52,98.19,693.3
2020011812,20.0,20.93,1.98,98.1,608.3
2020011813,20.39,19.76,2.41,98.01,567.4
2020011814,20.23,19.48,2.86,97.96,482.83
2020011815,19.51,20.3,3.19,97.95,316.85
2020011816,17.17,26.72,2.55,97.98,138.88
2020011817,12.72,36.46,3.12,98.03,11.38
2020011818,11.28,39.19,3.45,98.11,0.0
2020011819,10.4,41.47,3.59,98.2,0.0
2020011820,9.62,43.84,3.68,98.25,0.0
2020011821,8.87,46.26,3.69,98.27,0.0
2020011822,8.09,48.92,3.63,98.27,0.0
2020011823,7.37,51.52,3.57,98.24,0.0
2020011900,6.72,54.17,3.49,98.2,0.0
2020011901,6.09,56.72,3.41,98.16,0.0
2020011902,5.49,59.63,3.31,98.12,0.0
2020011903,4.93,62.89,3.24,98.09,0.0
2020011904,4.44,66.77,3.18,98.1,0.0
2020011905,4.0,71.79,3.11,98.14,0.0
2020011906,3.62,77.57,2.97,98.22,0.0
2020011907,5.58,72.19,2.55,98.31,53.62
2020011908,8.87,60.85,2.9,98.4,232.68
2020011909,12.64,46.72,2.13,98.45,424.02
2020011910,16.62,30.38,2.52,98.46,582.42
2020011911,18.36,25.79,2.31,98.4,673.12
2020011912,19.44,23.03,2.2,98.28,694.5
2020011913,19.98,21.44,2.18,98.15,631.62
2020011914,20.01,20.84,2.29,98.08,499.23
2020011915,19.45,21.44,2.48,98.05,332.58
2020011916,17.33,28.29,2.07,98.05,147.38
2020011917,13.1,37.56,2.66,98.07,12.45
2020011918,11.52,40.66,3.08,98.14,0.0
2020011919,10.57,43.1,3.26,98.22,0.0
2020011920,9.78,45.32,3.34,98.24,0.0
2020011921,9.05,47.6,3.37,98.23,0.0
2020011922,8.38,49.8,3.32,98.22,0.0
2020011923,7.75,52.12,3.26,98.19,0.0
2020012000,7.18,54.17,3.16,98.15,0.0
2020012001,6.7,56.12,3.08,98.11,0.0
2020012002,6.26,57.99,2.99,98.07,0.0
2020012003,5.84,59.68,2.92,98.04,0.0
2020012004,5.43,61.56,2.88,98.02,0.0
2020012005,5.23,62.63,2.84,98.06,0.0
2020012006,5.34,62.53,2.77,98.11,0.0
2020012007,7.21,55.76,3.04,98.16,49.22
2020012008,9.46,48.28,3.27,98.22,185.05
2020012009,11.91,41.7,2.44,98.26,329.27
2020012010,15.61,30.56,2.61,98.25,441.27
2020012011,17.6,25.82,2.19,98.17,542.5
2020012012,18.62,23.45,1.51,98.06,519.25
2020012013,19.02,22.07,0.85,97.97,480.75
2020012014,19.07,21.42,0.53,97.91,362.2
2020012015,18.71,21.9,0.6,97.89,241.27
2020012016,17.0,30.7,1.12,97.9,104.53
2020012017,14.63,34.05,2.02,97.92,10.77
2020012018,13.26,36.0,2.62,97.98,0.0
2020012019,12.46,37.19,2.95,98.02,0.0
2020012020,11.9,38.48,3.14,98.04,0.0
2020012021,11.44,39.78,3.23,98.02,0.0
2020012022,11.02,41.62,3.25,98.0,0.0
2020012023,10.68,44.01,3.2,97.95,0.0
2020012100,10.38,46.87,3.08,97.91,0.0
2020012101,10.06,50.02,3.01,97.86,0.0
2020012102,9.72,53.09,2.97,97.8,0.0
2020012103,9.35,56.15,2.83,97.78,0.0
2020012104,8.97,59.4,2.7,97.81,0.0
2020012105,8.23,64.07,2.75,97.87,0.0
2020012106,6.9,71.64,2.98,97.96,0.0
2020012107,8.61,64.92,3.47,98.03,53.65
2020012108,11.4,54.34,3.86,98.08,230.32
2020012109,15.61,40.44,3.45,98.13,429.75
2020012110,19.61,30.45,2.73,98.12,604.72
2020012111,21.43,26.22,1.39,98.04,693.65
2020012112,22.54,23.56,0.13,97.94,727.28
2020012113,23.23,22.13,1.34,97.83,677.47
2020012114,23.22,22.29,2.22,97.78,557.78
2020012115,22.52,23.78,2.62,97.79,383.25
2020012116,20.33,30.22,2.24,97.83,177.8
2020012117,15.95,40.0,3.03,97.91,16.27
2020012118,14.5,43.11,3.48,98.03,0.0
2020012119,13.71,45.43,3.85,98.15,0.0
2020012120,13.01,47.48,4.28,98.23,0.0
2020012121,12.27,49.76,4.6,98.28,0.0
2020012122,11.51,52.21,4.79,98.29,0.0
2020012123,10.76,54.86,4.83,98.26,0.0
2020012200,10.0,57.97,4.63,98.25,0.0
2020012201,9.33,61.15,4.42,98.22,0.0
2020012202,8.66,64.95,4.11,98.19,0.0
2020012203,7.98,69.18,3.78,98.18,0.0
2020012204,7.42,73.26,3.57,98.2,0.0
2020012205,6.95,76.65,3.42,98.26,0.0
2020012206,6.48,79.89,3.24,98.35,0.0
2020012207,8.11,71.82,3.95,98.45,58.05
2020012208,10.71,60.58,3.83,98.53,237.43
2020012209,14.86,46.46,3.53,98.59,418.75
2020012210,19.22,33.83,4.34,98.59,561.78
2020012211,20.9,29.25,3.88,98.52,662.15
2020012212,21.9,26.77,3.79,98.42,686.3
2020012213,22.31,25.44,4.25,98.32,638.78
2020012214,22.09,25.17,4.67,98.25,525.22
2020012215,21.28,25.83,4.91,98.24,354.88
2020012216,19.32,29.51,3.98,98.24,160.65
2020012217,14.92,39.94,3.42,98.3,15.0
2020012218,13.56,43.15,3.77,98.38,0.0
2020012219,12.65,45.72,3.84,98.46,0.0
2020012220,11.77,48.35,3.89,98.5,0.0
2020012221,11.0,50.77,3.96,98.51,0.0
2020012222,10.26,53.46,3.97,98.5,0.0
2020012223,9.51,56.6,3.9,98.47,0.0
2020012300,8.77,60.18,3.8,98.45,0.0
2020012301,8.07,63.96,3.7,98.41,0.0
2020012302,7.35,68.53,3.49,98.37,0.0
2020012303,6.69,73.27,3.34,98.31,0.0
2020012304,6.14,77.61,3.25,98.32,0.0
2020012305,5.68,81.71,3.16,98.38,0.0
2020012306,5.32,84.89,3.13,98.44,0.0
2020012307,7.35,74.75,4.0,98.49,60.45
2020012308,10.06,62.9,3.7,98.56,247.77
2020012309,14.2,48.21,3.61,98.63,442.83
2020012310,17.73,38.16,4.59,98.62,600.58
2020012311,19.55,33.53,4.01,98.51,701.65
2020012312,20.8,30.23,3.98,98.4,753.33
2020012313,21.52,27.91,3.92,98.27,703.72
2020012314,21.52,27.27,3.95,98.19,576.6
2020012315,20.75,28.2,4.11,98.15,395.9
2020012316,18.92,31.88,3.16,98.17,182.05
2020012317,14.4,43.86,2.74,98.23,18.0
2020012318,12.92,47.28,2.8,98.32,0.0
2020012319,12.09,49.29,2.66,98.38,0.0
2020012320,11.28,51.2,2.69,98.42,0.0
2020012321,10.47,53.3,2.84,98.43,0.0
2020012322,9.73,55.2,2.94,98.39,0.0
2020012323,9.12,56.67,2.94,98.34,0.0
2020012400,8.55,58.17,2.91,98.31,0.0
2020012401,8.11,59.19,2.81,98.27,0.0
2020012402,7.67,60.36,2.69,98.22,0.0
2020012403,7.19,62.04,2.63,98.19,0.0
2020012404,6.71,63.8,2.56,98.19,0.0
